,latitude,longitude,time,date,speed,course,lat_dir,long_dir
2420,30.62411846,-86.28508941,13:49:01.900000,2023-03-16,5.897890652944068,2.7352386808771674,N,W
2421,30.62411363,-86.28508695,13:49:02,2023-03-16,5.856483330514653,2.732539170526231,N,W
2422,30.62410873,-86.28508451,13:49:02.100000,2023-03-16,5.894773336390807,2.7332182882020555,N,W
2423,30.6241039,-86.28508206,13:49:02.200000,2023-03-16,5.845706049588964,2.7295825220516736,N,W
2424,30.62409902,-86.28507961,13:49:02.300000,2023-03-16,5.872145439841387,2.7292560960204413,N,W
2425,30.62409414,-86.28507713,13:49:02.400000,2023-03-16,5.866784322372265,2.7232309954264036,N,W
2426,30.62408929,-86.28507465,13:49:02.500000,2023-03-16,5.900451922248838,2.7184777910555358,N,W
2427,30.62408444,-86.28507224,13:49:02.600000,2023-03-16,5.862789945089624,2.7371235803322636,N,W
2428,30.62407957,-86.28506977,13:49:02.700000,2023-03-16,5.896498248809797,2.7229625470217758,N,W
2429,30.62407475,-86.28506724,13:49:02.800000,2023-03-16,5.885279370574433,2.715945936027168,N,W
2430,30.62406986,-86.28506478,13:49:02.900000,2023-03-16,5.906741364244079,2.7293298900862775,N,W
2431,30.62406501,-86.28506231,13:49:03,2023-03-16,5.872704577860186,2.7275524713391843,N,W
2432,30.62406016,-86.28505985,13:49:03.100000,2023-03-16,5.865862445225936,2.7236963373309235,N,W
2433,30.62405531,-86.28505738,13:49:03.200000,2023-03-16,5.870733283090368,2.728902093247718,N,W
2434,30.62405048,-86.2850549,13:49:03.300000,2023-03-16,5.845959995468494,2.728241708246103,N,W
2435,30.62404561,-86.28505244,13:49:03.400000,2023-03-16,5.866876093918807,2.72705366507533,N,W
2436,30.62404074,-86.28504994,13:49:03.500000,2023-03-16,5.892837926732416,2.7220985288452417,N,W
2437,30.62403591,-86.28504748,13:49:03.600000,2023-03-16,5.849764532461969,2.7312600460351955,N,W
2438,30.62403101,-86.28504504,13:49:03.700000,2023-03-16,5.910308459255405,2.7366039588836046,N,W
2439,30.62402617,-86.28504257,13:49:03.800000,2023-03-16,5.884404327747202,2.726577717605144,N,W
2440,30.62402135,-86.28504006,13:49:03.900000,2023-03-16,5.841740481202926,2.7178207865114774,N,W
2441,30.62401645,-86.28503762,13:49:04,2023-03-16,5.915756580424266,2.730224391774056,N,W
2442,30.6240116,-86.28503516,13:49:04.100000,2023-03-16,5.872749182813872,2.728570364552705,N,W
2443,30.62400672,-86.28503269,13:49:04.200000,2023-03-16,5.9158212211834975,2.7277838717582386,N,W
2444,30.62400194,-86.28503021,13:49:04.300000,2023-03-16,5.86717891059204,2.716746766087108,N,W
2445,30.62399711,-86.28502773,13:49:04.400000,2023-03-16,5.826854255493267,2.7222960064006725,N,W
2446,30.62399227,-86.28502525,13:49:04.500000,2023-03-16,5.882193193134003,2.7254232896001875,N,W
2447,30.62398747,-86.28502272,13:49:04.600000,2023-03-16,5.816039923595522,2.7144652563345857,N,W
2448,30.62398262,-86.2850203,13:49:04.700000,2023-03-16,5.858959731471876,2.731877931749491,N,W
2449,30.62397773,-86.2850178,13:49:04.800000,2023-03-16,5.930407742945589,2.7336456184351876,N,W
2450,30.62397292,-86.28501529,13:49:04.900000,2023-03-16,5.861494783378469,2.713140189064822,N,W
2451,30.62396811,-86.28501276,13:49:05,2023-03-16,5.853084280031255,2.713668624489986,N,W
2452,30.62396326,-86.28501019,13:49:05.100000,2023-03-16,5.905822569271278,2.7087559560718573,N,W
2453,30.62395836,-86.28500771,13:49:05.200000,2023-03-16,5.9407523553167065,2.724872418984791,N,W
2454,30.62395353,-86.28500518,13:49:05.300000,2023-03-16,5.9072545058334835,2.7191054331719826,N,W
