location,node-id,date,time,sampling_rate,mode,sequence-number,producer,data-file,up-time-seconds,hw-config,sw-mode,status,sensor-time-seconds,sensor-time,sample-rate-nominal,sample-rate-actual,lat,lon,alt-above-geoid-meters,geoidal-separation-meters,gps-fix-time-seconds,gps-fix-time,num-satellites
bprf,129,2023-04-11,16:00:00,1609,seismic,26,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch2-26-2023_04_11_16_00_00-1609Hz.wav,7891,575,8000,42,1681228799,2023-04-11T15:59:59.618,1600,1609.361,38.40927750,-77.10401583,7.8,0.0,1681225695,2023-04-11T15:08:15.000,11
bprf,129,2023-04-11,16:05:00,1609,seismic,27,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch2-27-2023_04_11_16_05_00-1609Hz.wav,8191,575,8000,42,1681229099,2023-04-11T16:04:59.937,1600,1609.361,38.40927750,-77.10401583,7.8,0.0,1681225695,2023-04-11T15:08:15.000,11
bprf,129,2023-04-11,16:00:00,9866,acoustic,26,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch1-26-2023_04_11_16_00_00-9866Hz.wav,7891,575,8000,42,1681228799,2023-04-11T15:59:59.722,9868,9866.440,38.40927750,-77.10401583,7.8,0.0,1681225695,2023-04-11T15:08:15.000,11
bprf,129,2023-04-11,16:05:00,9866,acoustic,27,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch1-27-2023_04_11_16_05_00-9866Hz.wav,8191,575,8000,42,1681229099,2023-04-11T16:04:59.878,9868,9866.440,38.40927750,-77.10401583,7.8,0.0,1681225695,2023-04-11T15:08:15.000,11
bprf,129,2023-04-12,15:35:00,1609,seismic,23,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch2-23-2023_04_12_15_35_00-1609Hz.wav,6804,575,8000,43,1681313699,2023-04-12T15:34:59.444,1600,1609.414,38.41088333,-77.10451999,0.5,0.0,1681311977,2023-04-12T15:06:17.000,10
bprf,129,2023-04-12,15:30:00,9866,acoustic,22,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch1-22-2023_04_12_15_30_00-9866Hz.wav,6504,575,8000,43,1681313399,2023-04-12T15:29:59.719,9868,9866.126,38.41088333,-77.10451999,0.5,0.0,1681311977,2023-04-12T15:06:17.000,10
bprf,129,2023-04-12,15:35:00,9866,acoustic,23,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch1-23-2023_04_12_15_35_00-9866Hz.wav,6804,575,8000,43,1681313699,2023-04-12T15:34:59.874,9868,9866.126,38.41088333,-77.10451999,0.5,0.0,1681311977,2023-04-12T15:06:17.000,10
bprf,129,2023-04-12,15:30:00,1609,seismic,22,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch2-22-2023_04_12_15_30_00-1609Hz.wav,6504,575,8000,43,1681313399,2023-04-12T15:29:59.772,1600,1609.466,38.41088333,-77.10451999,0.5,0.0,1681311977,2023-04-12T15:06:17.000,10
bprf,129,2023-04-12,14:40:00,1609,seismic,12,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch2-12-2023_04_12_14_40_00-1609Hz.wav,3504,575,8000,43,1681310399,2023-04-12T14:39:59.862,1600,1609.388,38.41087166,-77.10450833,0.0,0.0,1681308282,2023-04-12T14:04:42.000,9
bprf,129,2023-04-12,14:30:00,1609,seismic,10,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch2-10-2023_04_12_14_30_00-1609Hz.wav,2904,575,8000,43,1681309799,2023-04-12T14:29:59.864,1600,1609.414,38.41087166,-77.10450833,0.0,0.0,1681308282,2023-04-12T14:04:42.000,9
bprf,129,2023-04-12,14:35:00,1609,seismic,11,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch2-11-2023_04_12_14_35_00-1609Hz.wav,3204,575,8000,43,1681310099,2023-04-12T14:34:59.545,1600,1609.388,38.41087166,-77.10450833,0.0,0.0,1681308282,2023-04-12T14:04:42.000,9
bprf,129,2023-04-12,14:50:00,9866,acoustic,14,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch1-14-2023_04_12_14_50_00-9866Hz.wav,4104,575,8000,43,1681310999,2023-04-12T14:49:59.739,9868,9866.126,38.41087166,-77.10450833,0.0,0.0,1681308282,2023-04-12T14:04:42.000,9
bprf,129,2023-04-12,14:55:00,1609,seismic,15,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch2-15-2023_04_12_14_55_00-1609Hz.wav,4404,575,8000,43,1681311299,2023-04-12T14:54:59.535,1600,1609.414,38.41087166,-77.10450833,0.0,0.0,1681308282,2023-04-12T14:04:42.000,9
bprf,129,2023-04-12,14:10:00,9866,acoustic,6,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch1-6-2023_04_12_14_10_00-9866Hz.wav,1704,575,8000,43,1681308599,2023-04-12T14:09:59.729,9868,9866.284,38.41087166,-77.10450833,0.0,0.0,1681308282,2023-04-12T14:04:42.000,9
bprf,129,2023-04-12,14:20:00,1609,seismic,8,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch2-8-2023_04_12_14_20_00-1609Hz.wav,2304,575,8000,43,1681309199,2023-04-12T14:19:59.862,1600,1609.388,38.41087166,-77.10450833,0.0,0.0,1681308282,2023-04-12T14:04:42.000,9
bprf,129,2023-04-12,14:15:00,9866,acoustic,7,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch1-7-2023_04_12_14_15_00-9866Hz.wav,2004,575,8000,43,1681308899,2023-04-12T14:14:59.885,9868,9866.206,38.41087166,-77.10450833,0.0,0.0,1681308282,2023-04-12T14:04:42.000,9
bprf,129,2023-04-12,14:50:00,1609,seismic,14,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch2-14-2023_04_12_14_50_00-1609Hz.wav,4104,575,8000,43,1681310999,2023-04-12T14:49:59.856,1600,1609.414,38.41087166,-77.10450833,0.0,0.0,1681308282,2023-04-12T14:04:42.000,9
bprf,129,2023-04-12,14:45:00,1609,seismic,13,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch2-13-2023_04_12_14_45_00-1609Hz.wav,3804,575,8000,43,1681310699,2023-04-12T14:44:59.541,1600,1609.414,38.41087166,-77.10450833,0.0,0.0,1681308282,2023-04-12T14:04:42.000,9
bprf,129,2023-04-12,14:25:00,1609,seismic,9,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch2-9-2023_04_12_14_25_00-1609Hz.wav,2604,575,8000,43,1681309499,2023-04-12T14:24:59.545,1600,1609.388,38.41087166,-77.10450833,0.0,0.0,1681308282,2023-04-12T14:04:42.000,9
